trade_date,open,high,low,close,vol,MA5,MA10,MA20,RSI,MACD,MACD_Signal,MACD_Hist,Buy_Signal,Sell_Signal,Position,Portfolio_Value,BuyHold_Value
2025-02-06,1318.8280730408,1339.5335073483225,1318.8280730408,1330.9140625,2735582,1343.429638671875,1357.97900390625,1364.4666442871094,33.47714595793649,,,,0.0,0.0,0,10000.0,9494.893038360233
2025-02-07,1331.7053931481555,1359.0237784503458,1322.0308982993379,1352.7310791015625,3724207,1342.11083984375,1357.0011962890626,1362.0174133300782,41.8352376764406,,,,0.0,0.0,0,10000.0,9650.538128366159
2025-02-10,1354.615121945812,1356.4991485410078,1344.3377246712985,1348.50146484375,2083979,1341.2649169921874,1354.811962890625,1359.9690063476562,40.76587958718319,,,,0.0,0.0,0,10000.0,9620.363576828237
2025-02-11,1351.7417352363907,1352.6931777254313,1333.7964535694573,1335.774658203125,2357283,1338.063916015625,1349.4613159179687,1358.9327819824218,37.64755669977173,,,,0.0,0.0,0,10000.0,9529.56908364688
2025-02-12,1335.7747427979361,1361.2090996777276,1334.7196925937076,1359.3250732421875,2547579,1345.449267578125,1347.0921508789063,1359.0646606445312,45.89510102351825,,,,0.0,0.0,0,10000.0,9697.580436224267
2025-02-13,1359.3439486583275,1389.7050166425424,1351.3274068769576,1380.10595703125,4338536,1355.287646484375,1349.358642578125,1360.1272521972655,51.936489981611686,,,,1337.814132808188,0.0,1,9990.34,9845.83363632128
2025-02-14,1380.1060475739382,1391.3536310745499,1373.6625938681223,1389.4696044921875,2709992,1362.6353515625,1352.373095703125,1361.5873779296876,54.406878487122334,,,,0.0,0.0,1,10055.88,9912.634967523321
2025-02-17,1395.121734118114,1408.2910620009634,1382.0277259041836,1386.28564453125,3247059,1370.1921875,1355.7285522460938,1363.2651062011719,53.401770652074774,,,,0.0,0.0,1,10033.6,9889.920233252096
2025-02-18,1384.7595380362818,1406.4164144011877,1377.2987513730586,1389.4696044921875,2779992,1380.9311767578124,1359.4975463867188,1364.726171875,54.31075727520122,,,,0.0,0.0,1,10055.88,9912.634967523321
2025-02-19,1389.5166827885198,1407.7822184130139,1379.9552253550887,1404.541748046875,3239331,1389.97451171875,1367.7118896484376,1365.5975341796875,58.443333632006954,,,,0.0,0.0,1,10161.39,10020.161362309285
