trade_date,open,high,low,close,vol,MA5,MA10,MA20,RSI,MACD,MACD_Signal,MACD_Hist,Buy_Signal,Sell_Signal,Position,Portfolio_Value
2025-01-22,10.407854844850844,10.41704927359849,10.187193815881262,10.196388244628906,134712922,10.455664825439452,10.446470642089844,,37.31342012721065,,,,0.0,0.0,0,10000.0
2025-01-23,10.269942107471044,10.481408711533561,10.269942107471044,10.407855033874512,151492027,10.409693908691406,10.43911533355713,,47.09299780714263,,,,0.0,10.586222798648897,0,10000.0
2025-01-24,10.407855876399914,10.472216007183345,10.315914210297843,10.426244735717773,94494421,10.38946704864502,10.442793083190917,,47.854860242645785,,,,0.0,0.0,0,10000.0
2025-01-27,10.463020631998562,10.619322414759331,10.463020631998562,10.545768737792969,115193471,10.398661231994629,10.467617511749268,,52.62945892185663,,,,0.0,0.0,0,10000.0
2025-02-05,10.573349927434359,10.591738782968635,10.417048162708582,10.453824996948242,84343370,10.40601634979248,10.46669797897339,,48.91880378881398,,,,0.0,0.0,0,10000.0
2025-02-06,10.435438024713147,10.527379680765378,10.389466758272542,10.444631576538086,95560325,10.455665016174317,10.455664920806885,10.469456338882447,48.55020627482108,,,,10.285572090689817,0.0,1,10000.0
2025-02-07,10.44463146759101,10.527379570955166,10.398661078458899,10.463020324707031,140749262,10.46669807434082,10.438195991516114,10.467157745361328,49.37193343830346,,,,0.0,0.0,1,10017.6
2025-02-10,10.463020926524115,10.573351445079375,10.444632068350396,10.508992195129395,102659093,10.483247566223145,10.436357307434083,10.469456338882447,51.45918945505875,,,,0.0,0.0,1,10061.59
2025-02-11,10.481408962774873,10.545769089891017,10.453826552198825,10.499797821044922,84452003,10.474053382873535,10.436357307434083,10.468536996841431,51.006268296818945,,,,0.0,0.0,1,10052.79
2025-02-12,10.490603391909897,10.508992250179945,10.426244141622776,10.499797821044922,98880683,10.48324794769287,10.444632148742675,10.464399576187134,51.006268296818945,,,,0.0,0.0,1,10052.79
2025-02-13,10.499798178122823,10.619323130455877,10.481409319227406,10.573351860046387,135863927,10.508992004394532,10.482328510284423,10.464399576187134,54.705085233900896,,,,0.0,0.0,1,10123.19
2025-02-14,10.56415613005432,10.619321823120117,10.508991313817468,10.619321823120117,97305774,10.540252304077148,10.503475189208984,10.471295261383057,56.89536025512443,,,,0.0,0.0,1,10167.18
2025-02-17,10.665293283786156,10.849177469335098,10.61932201819168,10.830788612365723,206196542,10.604611587524413,10.54392957687378,10.493361330032348,65.22566264198146,,,,0.0,0.0,1,10369.55
2025-02-18,10.81240141935234,10.996285618287784,10.81240141935234,10.858372688293457,199661049,10.676326560974122,10.575189971923828,10.521403741836547,66.1447642803062,,,,0.0,0.0,1,10395.95
2025-02-19,10.849177046931265,10.858371475057975,10.738846539897528,10.76642894744873,117774895,10.729652786254883,10.606450366973878,10.536574172973634,60.413058204181766,,,,0.0,0.0,1,10307.96
2025-02-20,10.766430253757392,10.812401523139783,10.711264555132715,10.720458984375,78439627,10.759074211120605,10.634033107757569,10.544849014282226,57.71996629045408,,,,0.0,0.0,1,10263.97
2025-02-21,10.74804062546688,10.766429482634386,10.619322132610217,10.702070236206055,97396897,10.775623893737793,10.65793809890747,10.548067045211791,56.632418974349854,,,,0.0,0.0,1,10246.37
2025-02-24,10.692876158169716,10.748040977822777,10.628516909631477,10.656099319458008,94995617,10.74068603515625,10.672648811340332,10.554503059387207,53.898327361498175,,,,0.0,0.0,1,10202.37
2025-02-25,10.628516843587375,10.64690482441447,10.536574308964925,10.545768737792969,91715602,10.678165245056153,10.677245903015137,10.55680160522461,47.91899030333112,,,,0.0,0.0,1,10096.79
2025-02-26,10.545768388751338,10.665293329072915,10.545768388751338,10.591739654541016,84164552,10.64322738647461,10.686440086364746,10.56553611755371,50.388615431293736,0.04048967807232984,0.04066917963623832,-0.000179501563908481,0.0,10.771946262363643,0,10140.78
2025-02-27,10.600933383597047,10.692875916714668,10.5365741365121,10.68368148803711,97730975,10.635871887207031,10.697473049163818,10.589900779724122,54.98602969750412,0.04261826631061716,0.041058996971114085,0.0015592693395030735,0.0,0.0,0,10140.78
2025-02-28,10.646904340171531,10.738846870612248,10.573350666550539,10.600933074951172,94908806,10.615644454956055,10.695634174346925,10.599554681777954,50.454322251856674,0.03719927239004939,0.04028705205490114,-0.003087779664851756,0.0,0.0,0,10140.78
2025-03-03,10.591740663530468,10.628517504299849,10.527380534562264,10.58254623413086,83045695,10.600933837890626,10.670809936523437,10.607369756698608,49.478527682472716,0.031062942017726414,0.0384422300474662,-0.007379288029739785,0.0,0.0,0,10140.78
2025-03-04,10.545769393361478,10.619323074900242,10.518186105162656,10.58254623413086,68317873,10.608289337158203,10.643227291107177,10.609208631515504,49.478527682472716,0.025901282130377012,0.03593404046404836,-0.01003275833367135,0.0,0.0,0,10140.78
2025-03-05,10.591740482299143,10.729653413617285,10.554962765330004,10.720458984375,108064544,10.634033203125,10.638630294799805,10.62254033088684,56.75416406646313,0.032563662213833666,0.03525996481400542,-0.002696302600171757,0.0,0.0,0,10140.78
2025-03-06,10.748040680247323,10.75723510887794,10.66529345305871,10.692875862121582,87740771,10.635872077941894,10.635871982574463,10.634952545166016,55.04670613216882,0.035212016775085786,0.0352503752062215,-3.835843113571269e-05,10.558640518528124,0.0,1,10140.78
2025-03-07,10.692876518508424,10.748041340020482,10.665294107752395,10.729653358459473,83553669,10.661616134643555,10.638630294799805,10.648284196853638,56.90823585859307,0.039819479267121594,0.03616419601840152,0.0036552832487200745,0.0,0.0,1,10175.65
2025-03-10,10.720458567996246,10.729652996881422,10.6193224807463,10.656099319458008,66383393,10.676326751708984,10.638630294799805,10.655639553070069,52.248204145240564,0.03710797264661103,0.03635295134404342,0.0007550213025676114,0.0,0.0,1,10105.92
2025-03-11,10.610126918614167,10.67448616027832,10.591738939636798,10.67448616027832,60897527,10.694714736938476,10.65150203704834,10.664373970031738,53.27816081342149,0.03602744652621759,0.036287850380478257,-0.0002604038542606685,0.0,0.0,1,10123.35
2025-03-12,10.665294702903505,10.913538167218455,10.628517860900214,10.895150184631348,187731840,10.729652976989746,10.681843090057374,10.684141588211059,63.46331277971152,0.05237313943981192,0.03950490819234499,0.01286823124746693,0.0,0.0,1,10332.54
2025-03-13,10.858372446852806,10.950314105861652,10.830789160004047,10.885954856872559,131237121,10.76826877593994,10.702070426940917,10.699771738052368,62.848471993567,0.0638492186883397,0.044373770291543935,0.01947544839679577,0.0,0.0,1,10323.82
2025-03-14,10.867566008741333,11.033062222666615,10.867566008741333,11.00547981262207,172241765,10.82343406677246,10.742525100708008,10.719079637527466,67.28517711691488,0.08164757674981438,0.05182853158319802,0.029819045166616355,0.0,0.0,1,10437.13
2025-03-17,10.692876812379442,10.729653653341224,10.536575019084605,10.573351860046387,460361210,10.806884574890137,10.741605663299561,10.7062077999115,45.92947623774681,0.06018995705690244,0.053500816677938906,0.006689140378963537,0.0,0.0,1,10027.47
2025-03-18,10.59173981828521,10.610127798787975,10.554962103621728,10.564156532287598,160529000,10.784818649291992,10.739766693115234,10.691496992111206,45.597827675018806,0.04195897580042285,0.05119244850243569,-0.009233472702012843,0.0,0.0,1,10018.76
2025-03-19,10.554961940446102,10.60093320623578,10.536573960227608,10.591739654541016,136245491,10.724136543273925,10.726894760131836,10.68276252746582,46.837907347140714,0.029397641539345543,0.04683348710981766,-0.01743584557047212,0.0,10.706942538298138,0,10044.91
2025-03-20,10.582545389619339,10.674487045791114,10.564156532287598,10.564156532287598,110115724,10.659776878356933,10.714022827148437,10.67494740486145,45.7156740315673,0.017020761450886823,0.0408709419780315,-0.023850180527144674,0.0,0.0,0,10044.91
2025-03-21,10.564157071332042,10.591740358737114,10.472215410468873,10.499797821044922,137638897,10.558640480041504,10.691037273406982,10.664833784103394,43.11964554105496,0.0019957785878528256,0.033095909299995764,-0.03110013071214294,0.0,0.0,0,10044.91
2025-03-24,10.490602733552093,10.518185142397154,10.42624348730396,10.463020324707031,116457734,10.536574172973634,10.671729373931885,10.655179834365844,41.66364643151395,-0.012732492919687033,0.023930228856059204,-0.03666272177574624,0.0,0.0,0,10044.91
2025-03-25,10.463020926524115,10.508992195129395,10.444632068350396,10.508992195129395,73560888,10.525541305541992,10.655179977416992,10.653341007232665,44.20002808968305,-0.020459365629285742,0.015052309958990213,-0.035511675588275955,0.0,0.0,0,10044.91
2025-03-26,10.499797162110102,10.508991590668114,10.453825896149022,10.463020324707031,74086307,10.499797439575195,10.611966991424561,10.646905040740966,42.223016283238906,-0.029947299829993668,0.0060523880011934365,-0.03599968783118711,0.0,0.0,0,10044.91
2025-03-27,10.453825841771138,10.490602678982906,10.435437861579736,10.472214698791504,55334940,10.481409072875977,10.570592975616455,10.636331701278687,42.774321808211866,-0.03630613239839775,-0.002419316078724802,-0.03388681631967295,0.0,0.0,0,10044.91
2025-03-28,10.472215951413032,10.481409504193927,10.426244680192282,10.435439109802246,64494555,10.468537330627441,10.513588905334473,10.62805700302124,41.08563304661718,-0.04380804384687842,-0.010697061632355526,-0.0331109822145229,0.0,0.0,0,10044.91
2025-03-31,10.444631397518354,10.463020254511003,10.352689743041992,10.352689743041992,111612564,10.446471214294434,10.491522693634034,10.616564178466797,37.49832949969722,-0.055787461915913994,-0.01971514168906722,-0.036072320226846775,0.0,0.0,0,10044.91
2025-04-01,10.361884117126465,10.389466525641637,10.315912851715204,10.361884117126465,68147042,10.417049598693847,10.47129545211792,10.605531072616577,38.14457585550962,-0.06380383697846526,-0.028532880746946827,-0.03527095623151843,0.0,0.0,0,10044.91
2025-04-02,10.343494494229263,10.4906018311879,10.343494494229263,10.453824996948242,93264176,10.41521053314209,10.457503986358642,10.59219937324524,44.34192331734841,-0.06202304825846028,-0.03523091424924952,-0.02679213400921076,0.0,0.0,0,10044.91
2025-04-03,10.398662323570058,10.472216007183345,10.38946789391113,10.426244735717773,64391391,10.406016540527343,10.44371280670166,10.57886781692505,42.95170542813022,-0.06212116285509239,-0.04060896397041809,-0.021512198884674302,0.0,0.0,0,10044.91
2025-04-07,10.113639120541139,10.15961038281847,9.635539395783141,9.837812423706055,254556048,10.286491203308106,10.377514266967774,10.534275770187378,24.966658201588128,-0.1084305691199976,-0.05417328500033399,-0.05425728411966361,0.0,0.0,0,10044.91
2025-04-08,9.819425463510946,9.9757272453705,9.801036605960885,9.94814395904541,146398771,10.20558204650879,10.32602663040161,10.498878002166748,30.816219452272236,-0.13467581543585716,-0.07027379108743863,-0.06440202434841853,0.0,0.0,0,10044.91
2025-04-09,9.865396038747525,9.957338574564174,9.801036789773274,9.929756164550781,106439405,10.119156455993652,10.26810302734375,10.46164150238037,30.390985000821203,-0.15517039583747483,-0.08725311203744587,-0.06791728380002895,0.0,0.0,0,10044.91
2025-04-10,9.984920208271022,10.049280329070413,9.948143372169486,10.021697044372559,86654805,10.032730865478516,10.223970699310303,10.417968845367431,35.20548329128397,-0.16212476447589452,-0.1022274425251356,-0.05989732195075892,0.0,0.0,0,10044.91
2025-04-11,9.994114767256585,10.021697175486363,9.957337930673898,10.012503623962402,58387902,9.949982643127441,10.177999591827392,10.374296283721923,34.945211934629576,-0.16645914649625304,-0.1150737833193591,-0.05138536317689395,0.0,0.0,0,10044.91
2025-04-14,10.06766910138437,10.15041720833523,10.04008669134375,10.049281120300293,78599345,9.992276382446288,10.139383792877197,10.326486349105835,36.95323454825869,-0.1650242421434136,-0.12506387508417,-0.03996036705924361,0.0,0.0,0,10044.91
2025-04-15,10.040086505265503,10.086057772367194,10.02169764769323,10.067668914794922,72275410,10.016181373596192,10.11088171005249,10.301202201843262,37.98391921123087,-0.16055257857801664,-0.13216161578293933,-0.0283909627950773,0.0,0.0,0,10044.91
2025-04-16,10.049281533533014,10.122835214551907,10.03089267486377,10.113640785217285,84282217,10.052958297729493,10.086057376861572,10.278676414489746,40.59853209172576,-0.1515522077329372,-0.1360397341729389,-0.015512473559998297,0.0,0.0,0,10044.91
2025-04-17,10.06766816689912,10.187193101752785,10.049280187521822,10.168805122375488,82391931,10.082379913330078,10.057555389404296,10.257529687881469,43.667638531845235,-0.13837297054274345,-0.1365063814468998,-0.0018665890958436404,9.948787385646604,0.0,1,10044.91
2025-04-18,10.150417281877676,10.28833020990899,10.141222852854519,10.279136657714844,72709815,10.135706520080566,10.042844581604005,10.243278694152831,49.308855587160096,-0.11766908137187038,-0.13273892143189392,0.015069840060023543,0.0,0.0,1,10153.8
2025-04-21,10.113639722974066,10.233164661283233,10.086057314696241,10.132028579711914,111418418,10.15225601196289,10.07226619720459,10.224890232086182,43.1099638117297,-0.11184224472401993,-0.12855958609031912,0.016717341366299182,0.0,0.0,1,10008.61
2025-04-22,10.132028394633531,10.168805230608488,10.09525068182964,10.150416374206543,83112887,10.168805503845215,10.092493438720703,10.209260034561158,44.056670069670695,-0.10453567121147067,-0.12375480311454942,0.01921913190307875,0.0,0.0,1,10026.76
2025-04-23,10.150417570326038,10.159611999610478,10.086058318993038,10.122835159301758,58638293,10.170644378662109,10.1118013381958,10.189952182769776,42.90337889450915,-0.09982006897938334,-0.1189678562875162,0.019147787308132866,0.0,0.0,1,9999.53
2025-04-24,10.113640543281383,10.168806241140413,10.104446114166706,10.141222953796387,68925613,10.165127944946288,10.123753929138184,10.173862314224243,43.95667892284814,-0.0935211255731403,-0.11387851014464102,0.020357384571500728,0.0,0.0,1,10017.68
2025-04-25,10.150417570326038,10.159611999610478,10.10444630073288,10.122835159301758,63754686,10.133867645263672,10.13478708267212,10.156393337249757,43.1004146581598,-0.08898712074932469,-0.10890023226557775,0.019913111516253065,0.0,10.261208119606582,0,9999.53
2025-04-28,10.113640785217285,10.150417625726732,10.076863944707839,10.113640785217285,64201837,10.130190086364745,10.141223049163818,10.140303421020509,42.65300047612545,-0.08515419386846546,-0.1041510245861553,0.018996830717689844,0.0,0.0,0,9999.53
2025-04-29,10.113639940507396,10.13202879764077,10.067668674502933,10.095251083374023,64904494,10.119157028198241,10.14398126602173,10.127431488037109,41.72015142200598,-0.08264775507615951,-0.09985037068415614,0.01720261560799663,0.0,0.0,0,9999.53
2025-04-30,10.076863640588003,10.086058069645137,10.012504390846095,10.030892372131348,86983492,10.10076847076416,10.135706424713135,10.110881900787353,38.54308972756868,-0.08487619446820105,-0.09685553544096512,0.011979340972764069,0.0,0.0,0,9999.53
2025-05-06,10.04008645076348,10.113640126995309,10.01250404138379,10.076863288879395,85467127,10.087896537780761,10.126512241363525,10.09203381538391,41.94394242848178,-0.08198767704937815,-0.09388196376264772,0.011894286713269572,0.0,0.0,0,9999.53
2025-05-07,10.122834972396058,10.150417382911062,10.086058132766377,10.141222953796387,112627001,10.091574096679688,10.11272087097168,10.077782726287841,46.414670911004436,-0.07365615677573345,-0.08983680236526487,0.016180645589531417,0.0,0.0,0,9999.53
2025-05-08,10.11364019382656,10.187193870544434,10.104445765029578,10.187193870544434,105661366,10.106284713745117,10.118237400054932,10.09525179862976,49.411334890412064,-0.06262203036177105,-0.0843938479645661,0.02177181760279505,0.0,0.0,0,9999.53
2025-05-09,10.177999855751654,10.269942393803381,10.168806303409703,10.251553535461426,99989747,10.137545204162597,10.12835111618042,10.110422277450562,53.34506890310482,-0.048129313829115006,-0.07714094113747588,0.029011627308360877,10.067118240375606,0.0,1,9999.53
2025-05-12,10.260747909545898,10.315913607446573,10.233165499010072,10.260747909545898,89560460,10.183516311645509,10.142142391204834,10.126971864700318,53.89660978873814,-0.03549268483719814,-0.06881128987742033,0.03331860504022219,0.0,0.0,1,10008.5
